Movement Activity,Fall Detected (Yes/No),Location,Hour,Day_of_Week
No Movement,Yes,Bedroom,3,0
Walking,No,Bedroom,0,5
No Movement,No,Bathroom,10,0
Lying,No,Bedroom,2,2
Sitting,No,Kitchen,20,4
Sitting,No,Bedroom,3,6
No Movement,No,Bedroom,21,4
Sitting,No,Bedroom,9,5
Lying,No,Bathroom,8,2
No Movement,No,Bedroom,20,3
Lying,No,Bedroom,10,0
Walking,No,Bathroom,0,1
Walking,No,Bathroom,3,6
Sitting,No,Bathroom,14,0
Walking,No,Bathroom,23,5
Walking,No,Living Room,22,2
Walking,No,Living Room,7,0
No Movement,No,Living Room,21,6
Lying,No,Bathroom,10,5
No Movement,No,Bedroom,13,5
No Movement,Yes,Kitchen,15,3
Walking,No,Bedroom,23,3
Sitting,No,Bedroom,19,5
Walking,No,Kitchen,8,1
Lying,No,Living Room,17,2
Sitting,No,Bathroom,15,1
Lying,No,Bathroom,10,1
No Movement,No,Living Room,17,1
Lying,No,Kitchen,21,3
Lying,No,Bathroom,11,3
Sitting,No,Kitchen,6,6
No Movement,No,Kitchen,11,4
Lying,No,Bedroom,3,4
Walking,No,Bathroom,19,3
No Movement,No,Kitchen,21,3
Sitting,No,Living Room,20,3
Walking,No,Living Room,21,4
Lying,No,Kitchen,0,0
Sitting,No,Bedroom,14,0
No Movement,No,Bedroom,7,5
Lying,No,Bathroom,18,3
No Movement,No,Living Room,23,1
Sitting,No,Bathroom,3,4
Lying,No,Living Room,3,3
Walking,No,Kitchen,2,0
Walking,No,Bathroom,4,1
Sitting,No,Bedroom,1,4
Sitting,No,Bedroom,15,6
Lying,No,Bathroom,11,0
No Movement,No,Bedroom,22,3
Sitting,No,Bedroom,18,6
Lying,No,Living Room,20,2
Sitting,No,Living Room,0,3
No Movement,Yes,Bathroom,5,5
Sitting,No,Bathroom,8,6
No Movement,No,Kitchen,10,3
Walking,No,Living Room,5,4
Walking,No,Kitchen,9,1
No Movement,No,Bathroom,10,5
Sitting,No,Kitchen,15,1
No Movement,No,Bedroom,9,2
Lying,No,Bedroom,5,0
Sitting,No,Living Room,14,1
Sitting,No,Kitchen,20,6
Walking,No,Kitchen,0,2
No Movement,No,Bathroom,8,0
Sitting,No,Bathroom,0,0
Walking,No,Living Room,14,4
Lying,No,Bedroom,2,6
Lying,No,Bedroom,8,5
Lying,No,Living Room,23,4
Walking,No,Bathroom,6,3
No Movement,No,Kitchen,11,2
Lying,No,Kitchen,9,4
Sitting,No,Living Room,13,1
Lying,No,Bathroom,3,1
Sitting,No,Kitchen,16,3
No Movement,No,Bedroom,13,6
Walking,No,Kitchen,13,1
Sitting,No,Bedroom,6,6
Walking,No,Bedroom,9,2
No Movement,No,Bedroom,2,1
Lying,No,Bedroom,23,0
Sitting,No,Bedroom,20,2
Sitting,No,Living Room,8,5
No Movement,No,Bedroom,10,4
No Movement,No,Bedroom,7,2
Walking,No,Living Room,8,1
No Movement,No,Bathroom,7,3
Lying,No,Kitchen,12,5
Walking,No,Living Room,23,5
Sitting,No,Living Room,5,1
Walking,No,Bathroom,3,6
Sitting,No,Living Room,8,5
Sitting,No,Kitchen,0,4
Lying,No,Bathroom,17,1
No Movement,No,Living Room,17,3
Sitting,No,Bathroom,10,2
No Movement,No,Bathroom,4,3
No Movement,No,Kitchen,0,4
No Movement,No,Bedroom,4,2
Sitting,No,Living Room,16,3
Sitting,No,Kitchen,2,1
No Movement,No,Bedroom,16,6
Sitting,No,Bedroom,10,6
Walking,No,Living Room,2,5
Sitting,No,Bathroom,15,3
No Movement,No,Bathroom,17,0
Sitting,No,Bathroom,2,3
No Movement,No,Living Room,5,2
Sitting,No,Living Room,17,1
No Movement,No,Bathroom,22,1
Lying,No,Bedroom,18,3
No Movement,No,Living Room,19,3
Sitting,No,Kitchen,4,3
No Movement,No,Bathroom,3,1
Lying,No,Bedroom,8,6
No Movement,No,Kitchen,8,5
Sitting,No,Bedroom,0,4
Sitting,No,Bathroom,21,3
Walking,No,Bedroom,8,1
Walking,No,Bathroom,8,5
Sitting,No,Bathroom,12,4
Lying,No,Bedroom,7,1
Lying,No,Living Room,4,0
Walking,No,Bedroom,21,6
No Movement,No,Bedroom,12,0
Walking,No,Kitchen,8,1
No Movement,No,Living Room,1,1
Walking,No,Bedroom,12,0
Lying,No,Bathroom,1,2
Sitting,No,Living Room,20,0
No Movement,No,Kitchen,5,5
Lying,No,Bedroom,12,3
Walking,No,Kitchen,19,5
Sitting,No,Bathroom,13,3
Lying,No,Living Room,1,3
Sitting,No,Living Room,20,2
Walking,No,Living Room,14,5
Lying,No,Bedroom,23,4
Lying,No,Bedroom,12,5
Lying,No,Living Room,3,6
No Movement,No,Kitchen,9,3
Sitting,No,Bedroom,0,1
Sitting,No,Kitchen,5,6
Walking,No,Kitchen,10,3
Lying,No,Kitchen,23,0
Walking,No,Living Room,16,4
Walking,No,Kitchen,21,3
No Movement,No,Bathroom,21,1
Walking,No,Living Room,19,6
Lying,No,Bedroom,15,3
Sitting,No,Kitchen,21,3
Lying,No,Kitchen,2,6
Walking,No,Bathroom,15,6
Lying,No,Bathroom,10,6
Sitting,No,Bathroom,21,6
No Movement,No,Bedroom,1,0
Sitting,No,Bathroom,3,3
No Movement,No,Kitchen,10,4
Sitting,No,Bathroom,10,0
Walking,No,Bedroom,4,2
No Movement,No,Kitchen,9,0
No Movement,No,Living Room,21,1
Sitting,No,Living Room,13,2
Lying,No,Bedroom,3,4
Sitting,No,Kitchen,7,3
Lying,No,Kitchen,13,3
Lying,No,Living Room,8,3
Walking,No,Living Room,13,3
No Movement,No,Kitchen,3,3
Sitting,No,Living Room,2,3
Sitting,No,Bedroom,17,0
Lying,No,Living Room,0,6
Sitting,No,Kitchen,4,5
No Movement,No,Bathroom,6,1
Lying,No,Living Room,5,2
No Movement,No,Living Room,9,3
Sitting,No,Bathroom,18,5
No Movement,Yes,Living Room,21,5
Sitting,No,Bedroom,13,0
Lying,No,Living Room,1,3
Sitting,No,Bathroom,22,5
Sitting,No,Bathroom,11,0
No Movement,Yes,Bedroom,18,0
No Movement,No,Bedroom,13,2
Walking,No,Bathroom,7,4
Sitting,No,Bedroom,22,5
Sitting,No,Bedroom,0,1
Lying,No,Bedroom,7,2
No Movement,Yes,Bathroom,9,6
Lying,No,Kitchen,13,6
Sitting,No,Bedroom,5,2
No Movement,Yes,Bedroom,8,2
No Movement,No,Kitchen,8,4
No Movement,No,Bathroom,23,5
Walking,No,Living Room,10,0
No Movement,No,Bathroom,15,3
Sitting,No,Bedroom,0,1
Walking,No,Bedroom,22,2
Walking,No,Bathroom,16,3
Walking,No,Living Room,7,4
Sitting,No,Bathroom,1,5
Walking,No,Kitchen,6,1
Sitting,No,Bathroom,4,6
Sitting,No,Living Room,1,6
Lying,No,Bedroom,23,2
Lying,No,Bedroom,13,5
Lying,No,Living Room,16,0
Lying,No,Bathroom,12,6
Sitting,No,Bathroom,0,6
Lying,No,Living Room,21,2
No Movement,No,Bathroom,6,0
Lying,No,Kitchen,7,5
Lying,No,Kitchen,14,2
No Movement,No,Living Room,11,6
Walking,No,Bathroom,8,3
Lying,No,Bathroom,5,2
Lying,No,Kitchen,4,4
No Movement,No,Bedroom,12,5
Sitting,No,Bedroom,19,0
Sitting,No,Bathroom,3,3
Sitting,No,Bedroom,11,6
Sitting,No,Bathroom,10,2
Walking,No,Bathroom,9,0
Sitting,No,Kitchen,5,2
Lying,No,Kitchen,9,2
Sitting,No,Kitchen,12,4
Walking,No,Bedroom,22,6
No Movement,No,Bedroom,14,2
Sitting,No,Living Room,22,2
Sitting,No,Bedroom,22,2
Walking,No,Bathroom,2,2
Walking,No,Living Room,16,1
No Movement,No,Bathroom,16,0
No Movement,No,Bedroom,15,3
Lying,No,Bathroom,10,4
Sitting,No,Bathroom,14,6
Walking,No,Bedroom,16,3
Sitting,No,Bedroom,10,4
No Movement,No,Kitchen,16,0
Lying,No,Kitchen,2,3
No Movement,No,Kitchen,20,2
Walking,No,Kitchen,11,2
Lying,No,Bathroom,0,5
Sitting,No,Bathroom,2,0
Walking,No,Kitchen,13,5
Lying,No,Living Room,12,3
Sitting,No,Bathroom,17,2
Walking,No,Kitchen,9,5
Lying,No,Living Room,20,5
Walking,No,Bathroom,20,3
Walking,No,Living Room,17,3
Walking,No,Bathroom,12,3
Lying,No,Living Room,23,0
No Movement,No,Bathroom,17,6
No Movement,No,Bedroom,21,2
Lying,No,Living Room,14,2
Walking,No,Living Room,15,4
Walking,No,Bedroom,16,3
No Movement,No,Kitchen,17,1
No Movement,No,Kitchen,17,0
Lying,No,Bedroom,14,2
Sitting,No,Bathroom,3,2
No Movement,No,Bedroom,16,2
Sitting,No,Bathroom,8,4
Lying,No,Bathroom,12,0
No Movement,No,Kitchen,3,4
Walking,No,Living Room,12,5
Sitting,No,Bathroom,0,5
Sitting,No,Living Room,8,4
Sitting,No,Living Room,8,6
Walking,No,Kitchen,12,5
Walking,No,Bathroom,23,0
No Movement,No,Kitchen,9,4
Walking,No,Bedroom,20,4
Walking,No,Bedroom,20,1
Walking,No,Bathroom,12,2
No Movement,No,Kitchen,12,4
Sitting,No,Bathroom,16,1
Walking,No,Living Room,20,5
Lying,No,Living Room,3,5
Walking,No,Bathroom,11,1
Sitting,No,Bathroom,23,1
Lying,No,Bathroom,2,3
No Movement,No,Bathroom,17,6
Lying,No,Living Room,2,6
Lying,No,Bedroom,16,6
No Movement,No,Bedroom,23,0
Lying,No,Bedroom,23,5
Walking,No,Bathroom,3,3
Sitting,No,Bathroom,2,3
No Movement,No,Living Room,13,2
Sitting,No,Kitchen,19,4
Walking,No,Bathroom,1,2
Walking,No,Bathroom,0,0
Walking,No,Bedroom,23,1
No Movement,Yes,Living Room,10,3
Walking,No,Bedroom,6,1
Sitting,No,Bathroom,5,2
Sitting,No,Bathroom,6,4
Sitting,No,Living Room,7,6
Walking,No,Living Room,14,6
Lying,No,Living Room,23,3
Sitting,No,Kitchen,1,6
Walking,No,Living Room,0,4
No Movement,No,Kitchen,7,3
No Movement,Yes,Bathroom,10,4
Sitting,No,Kitchen,13,6
Walking,No,Kitchen,4,6
Sitting,No,Bathroom,20,3
Lying,No,Bedroom,11,4
Sitting,No,Bathroom,7,2
Walking,No,Living Room,16,2
Walking,No,Bathroom,9,6
No Movement,No,Bathroom,5,3
No Movement,No,Living Room,14,2
No Movement,No,Bathroom,19,6
Sitting,No,Living Room,1,4
No Movement,No,Bathroom,19,0
No Movement,No,Kitchen,11,0
Sitting,No,Bathroom,9,3
Walking,No,Living Room,14,0
Walking,No,Bathroom,5,3
Sitting,No,Living Room,20,4
No Movement,No,Bedroom,7,1
Lying,No,Bedroom,9,4
Sitting,No,Bathroom,22,3
No Movement,No,Bedroom,10,3
Lying,No,Bathroom,4,5
Sitting,No,Bathroom,7,2
Walking,No,Bedroom,22,2
Lying,No,Kitchen,1,1
No Movement,No,Bathroom,6,2
Lying,No,Bedroom,23,2
Lying,No,Bathroom,5,2
Sitting,No,Living Room,20,0
Walking,No,Living Room,1,4
Lying,No,Kitchen,13,2
No Movement,No,Bedroom,10,2
Lying,No,Bedroom,13,5
Sitting,No,Living Room,2,6
Walking,No,Bedroom,11,2
No Movement,No,Bedroom,13,4
Sitting,No,Living Room,1,4
Walking,No,Kitchen,10,0
Walking,No,Bathroom,21,3
Walking,No,Bathroom,7,0
Walking,No,Bedroom,19,1
Lying,No,Living Room,18,4
Sitting,No,Bedroom,11,5
Walking,No,Bedroom,12,3
Lying,No,Kitchen,15,4
Walking,No,Living Room,11,5
Walking,No,Bathroom,19,5
Sitting,No,Living Room,12,2
No Movement,No,Kitchen,6,6
Walking,No,Bathroom,5,6
No Movement,No,Living Room,16,3
Sitting,No,Kitchen,14,1
No Movement,Yes,Bathroom,8,0
Lying,No,Bedroom,5,3
Sitting,No,Kitchen,18,1
Walking,No,Bedroom,6,2
Walking,No,Bathroom,11,6
Walking,No,Bedroom,17,5
Walking,No,Bathroom,9,0
Sitting,No,Bathroom,3,2
Walking,No,Bedroom,14,4
No Movement,No,Bedroom,15,1
Walking,No,Bedroom,19,1
No Movement,No,Living Room,11,5
No Movement,No,Living Room,20,6
Lying,No,Living Room,18,2
No Movement,No,Living Room,19,1
Walking,No,Kitchen,12,2
Sitting,No,Bathroom,8,2
Lying,No,Kitchen,15,2
Walking,No,Bathroom,13,3
Sitting,No,Living Room,14,0
No Movement,No,Kitchen,16,6
Sitting,No,Kitchen,16,5
No Movement,No,Bedroom,23,3
No Movement,No,Living Room,21,2
No Movement,Yes,Bathroom,22,5
Lying,No,Bathroom,9,5
Lying,No,Bathroom,3,2
No Movement,No,Bedroom,3,5
No Movement,No,Bedroom,5,3
Walking,No,Bedroom,4,3
Lying,No,Bedroom,16,1
Walking,No,Bedroom,9,3
No Movement,No,Living Room,2,4
Walking,No,Living Room,17,2
Sitting,No,Living Room,13,4
No Movement,No,Bedroom,0,4
Walking,No,Bathroom,11,4
No Movement,Yes,Bedroom,21,1
No Movement,Yes,Bedroom,18,0
Lying,No,Bedroom,17,5
Lying,No,Living Room,7,0
Walking,No,Bathroom,10,6
No Movement,No,Living Room,6,2
Sitting,No,Bathroom,5,4
No Movement,No,Living Room,12,1
Sitting,No,Living Room,4,0
No Movement,No,Bedroom,0,0
Walking,No,Living Room,22,6
Walking,No,Kitchen,10,3
Lying,No,Living Room,11,0
No Movement,No,Living Room,13,2
Walking,No,Bedroom,13,4
Lying,No,Living Room,6,6
Sitting,No,Living Room,8,3
Sitting,No,Kitchen,3,0
Walking,No,Living Room,8,3
Lying,No,Bedroom,20,3
No Movement,No,Bathroom,17,2
Walking,No,Bathroom,3,5
Sitting,No,Kitchen,21,1
Walking,No,Bedroom,12,2
Walking,No,Bedroom,19,0
No Movement,No,Living Room,20,0
Sitting,No,Living Room,14,6
Lying,No,Living Room,5,0
Lying,No,Living Room,4,2
No Movement,No,Bathroom,19,1
Lying,No,Bathroom,15,3
Lying,No,Bathroom,4,3
No Movement,No,Living Room,22,2
Lying,No,Living Room,22,2
Sitting,No,Bathroom,2,4
Lying,No,Bedroom,20,1
Sitting,No,Bathroom,12,1
No Movement,No,Bedroom,10,0
Sitting,No,Bedroom,17,2
Walking,No,Bedroom,3,4
Lying,No,Living Room,14,6
Walking,No,Bathroom,6,4
Lying,No,Kitchen,19,3
Lying,No,Living Room,1,5
Lying,No,Bathroom,21,5
Sitting,No,Bedroom,23,0
No Movement,No,Bedroom,8,6
Walking,No,Kitchen,17,1
Walking,No,Living Room,7,4
No Movement,No,Bathroom,23,5
Walking,No,Bathroom,21,1
No Movement,No,Bathroom,1,4
Sitting,No,Bathroom,5,3
Lying,No,Bathroom,23,2
No Movement,No,Living Room,1,5
Walking,No,Living Room,12,3
Sitting,No,Kitchen,15,2
Walking,No,Kitchen,17,2
Walking,No,Bedroom,11,1
Walking,No,Bathroom,10,0
Walking,No,Kitchen,15,3
Lying,No,Kitchen,17,4
Sitting,No,Living Room,15,4
No Movement,No,Kitchen,2,3
Walking,No,Living Room,10,0
Walking,No,Bedroom,3,5
Walking,No,Bedroom,6,4
Sitting,No,Bedroom,0,4
No Movement,No,Bedroom,11,6
No Movement,Yes,Bathroom,15,5
No Movement,No,Living Room,14,2
Walking,No,Living Room,6,0
Lying,No,Kitchen,13,0
No Movement,No,Living Room,3,3
No Movement,Yes,Living Room,10,1
Lying,No,Living Room,16,5
Sitting,No,Living Room,16,4
No Movement,No,Bathroom,7,1
Sitting,No,Bedroom,5,4
No Movement,No,Bathroom,21,1
No Movement,No,Living Room,7,5
No Movement,No,Living Room,9,6
No Movement,No,Kitchen,3,3
Sitting,No,Bathroom,3,1
Walking,No,Living Room,13,6
Lying,No,Bedroom,10,3
Walking,No,Bedroom,7,1
Sitting,No,Bedroom,4,2
Walking,No,Bathroom,5,2
Walking,No,Kitchen,19,4
Sitting,No,Bathroom,7,1
Sitting,No,Bedroom,11,6
Sitting,No,Kitchen,23,2
Lying,No,Kitchen,21,4
No Movement,No,Bathroom,20,3
No Movement,No,Kitchen,7,2
No Movement,No,Living Room,13,2
Sitting,No,Living Room,7,0
Sitting,No,Kitchen,3,1
Sitting,No,Living Room,12,5
Sitting,No,Bathroom,19,0
Lying,No,Living Room,22,0
Sitting,No,Living Room,7,2
No Movement,No,Bathroom,10,2
No Movement,No,Bedroom,3,3
Sitting,No,Bathroom,22,3
No Movement,Yes,Kitchen,3,3
Sitting,No,Kitchen,23,5
Sitting,No,Kitchen,8,0
Walking,No,Kitchen,14,4
Lying,No,Kitchen,3,5
No Movement,No,Bedroom,7,6
Walking,No,Bedroom,6,0
No Movement,No,Bedroom,18,3
Lying,No,Living Room,17,0
Walking,No,Bedroom,12,2
Sitting,No,Bathroom,20,2
No Movement,No,Bedroom,0,2
No Movement,No,Bedroom,6,6
Lying,No,Living Room,19,2
Sitting,No,Bedroom,16,6
Walking,No,Bathroom,20,2
Lying,No,Living Room,18,1
Lying,No,Living Room,16,2
